Name,Address,Href,Description,Phone Number,Bare Metal,IaaS,Internet Exchange,Colocation_x,Products,Airplane,Building,Colocation_y,Power,Abbreviation,Summary,Country
Canada Central-Toronto,"Toronto, ON, Canada",/microsoft-azure-canada-central-toronto,"Microsoft Azure Canada Central-Toronto is located at Toronto, ON, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. Certifications for this location include ISO 22301, ISO 27001, ISO 9001, PCI DSS, SOC 1, SOC 2, SOC 3.",+1 833-538-1100,Inactive,Inactive,Active,Active,0 colocation products,224.32 miles to nearest airport,,,,"['ISO 22301', 'ISO 27001', 'ISO 9001', 'PCI DSS', 'SOC 1', 'SOC 2', 'SOC 3']","['ISO 22301 is the international standard for Business Continuity Management (BCM). It provides a practical framework for setting up and managing an effective business continuity management system.', ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'ISO 9001 sets out the criteria for a quality management system. This standard is based on a number of quality management principles including a strong customer focus, the motivation and implication of top management, the process approach and continual improvement.', 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""System and Organization Controls 1, or SOC 1, aims to control objectives within a SOC 1 process area and documents internal controls relevant to an audit of a user entity's financial statements."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.', ""A report that outlines information related to a service organization's internal controls for security, availability, processing integrity, confidentiality and privacy.""]",Canada
TR2 Toronto Data Centers,"45 Parliament Street, Toronto, ON, Canada",/vantage-qc1-montreal-i,"Vantage Data Centers QC1 Montreal I Data Center is located at 2900 Avenue Marie Curie, Saint-Laurent, QC H4S 2C2, Canada. The data center is 60000 sqft. There is a total of 60000 sqft in raised floor space for colocation. It has access to 11.0 MW of power. We found 50 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2.",+1 866-445-9110,Inactive,Inactive,Active,Active,0 colocation products,254.77 miles to nearest airport,60000 sqft total space,60000 sqft colocation space,11.0 MW total power,"['ISO 27001', 'PCI DSS', 'SOC 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.']",Canada
MT1 Montreal IBX Data Center,"6205 Rue Vanden Abeele, Saint-Laurent, QC, Canada",/ovh-bhs2,"OVHCloud BHS2 Data Center is located at 50 Rue de l'Aluminerie, Beauharnois, QC J6N 0C2, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 51 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, HITECH, ISO 14001, ISO 27001, ISO 50001, PCI DSS, SOC 1, SOC 2, SOC 2 Type 2, SOC 3, SSAE 16 Type 1.",+1 833-476-4400,Inactive,Inactive,Active,Active,0 colocation products,248.55 miles to nearest airport,,,,"['HIPAA', 'HITECH', 'ISO 14001', 'ISO 27001', 'ISO 50001', 'PCI DSS', 'SOC 1', 'SOC 2', 'SOC 2 Type 2', 'SOC 3', 'SSAE 16 Type 1']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""The Health Information Technology for Economic and Clinical Health (HITECH) Act of 2009 provides HHS with the authority to establish programs to improve health care quality, safety, and efficiency through the promotion of health IT, including electronic health records and private and secure electronic health information exchange. Learn more about select portions of the HITECH Act that relate to ONC's work"", 'ISO 14001 is an internationally agreed standard that sets out the requirements for an environmental management system.', ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'ISO 50001 is based on the management system model of continual improvement also used for other well-known standards such as ISO 9001 or ISO 14001. This makes it easier for organizations to integrate energy management into their overall efforts to improve quality and environmental management.', 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""System and Organization Controls 1, or SOC 1, aims to control objectives within a SOC 1 process area and documents internal controls relevant to an audit of a user entity's financial statements."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time."", ""A report that outlines information related to a service organization's internal controls for security, availability, processing integrity, confidentiality and privacy."", 'The SSAE 16 audit will result in a Service Organization Control (SOC) 1 report.']",Canada
CL3 Calgary IBX Data Center,"5300 86 Ave SE, Calgary, AB T2C 2R6, Canada",/core-data-centres-markham-data-centre,"CORE Data Centres Markham Data Centre is located at Markham, ON, Canada. The data center is 41000 sqft. There is a total of 22000 sqft in raised floor space for colocation. It has access to 16.0 MW of power. We found 96 data center locations within 50 miles of this facility. Certifications for this location include PCI DSS, SOC 2 Type 2.",+1 877-881-6530,Active,Inactive,Active,Active,0 colocation products,232.4 miles to nearest airport,41000 sqft total space,22000 sqft colocation space,16.0 MW total power,"['PCI DSS', 'SOC 2 Type 2']","['The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
YYZ1 Mississauga Data Center Campus,"6800 Millcreek Drive, Mississauga, ON, Canada",/cogent-communications-mississauga,"Cogent Communications Mississauga Data Center is located at 2920 Matheson Blvd E, Mississauga, ON, Canada. The data center is 230000 sqft. There is a total of 7640 sqft in raised floor space for colocation. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 844-823-6300,Inactive,Inactive,Active,Active,0 colocation products,65.87 miles to nearest airport,230000 sqft total space,7640 sqft colocation space,,[nan],[nan],Canada
YYZ2 Markham Data Center Campus,"4175 14th Avenue, Markham, ON, Canada",/cogent-communications-toronto,"Cogent Communications Toronto Data Center is located at 245 Consumers Road, Toronto, North York, ON, Canada. The data center is 13500 sqft. There is a total of 13500 sqft in raised floor space for colocation. No power information has been offered for this location. We found 96 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 844-823-6300,Inactive,Inactive,Active,Active,0 colocation products,64.63 miles to nearest airport,13500 sqft total space,13500 sqft colocation space,,[nan],[nan],Canada
CL2 Calgary IBX Data Center,"1930 Maynard Rd SE unit 22, Calgary, AB T2E 6J8, Canada",/megaport-cologix-tor2,"Megaport Cologix TOR2 Data Center is located at 905 King Street West, Toronto, ON, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,222.46 miles to nearest airport,,,,[nan],[nan],Canada
TR1 Toronto IBX Data Center,"151 Front Street West, Toronto, ON, Canada",/megaport-cologix-vancouver-bc-van2,"Megaport Cologix Vancouver BC (van2) Data Center is located at 1050 West Pender Street, Vancouver, BC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 21 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,132.36 miles to nearest airport,,,,[nan],[nan],Canada
Toronto YYZ10 Data Center,"371 Gough Road, Markham, ON, Canada",/megaport-beanfield-basement-mmr-tor1,"Megaport Beanfield Basement MMR - TOR1 Data Center is located at 151 Front St W, Toronto, ON, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,223.7 miles to nearest airport,,,,[nan],[nan],Canada
KA1 Kamloops IBX Data Center,"1460 Bunker Road, Kamloops, BC V2C 6K7, Canada",/megaport-4degres-colocation-quebec-city,"Megaport 4Degres Colocation - Quebec City Data Center is located at 2675 Boulevard du Parc Technologique, Québec City, QC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 4 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,306.34 miles to nearest airport,,,,[nan],[nan],Canada
